"","gene","sgrna_id","logFC","logCPM","LR","PValue","FDR"
"TPMT","TPMT","TPMT_+_18155248.23-P1P2|TPMT_+_18155297.23-P1P2",-0.329756996670529,5.57536507593602,1.23018844375468,0.267370393380467,0.618268299928741
"RAET1E","RAET1E","RAET1E_+_150219047.23-P2|RAET1E_+_150219149.23-P2",0.217323726487468,6.06030942393538,1.22989511979073,0.267427435742675,0.618268299928741
"SLC35F3","SLC35F3","SLC35F3_-_234040474.23-P2|SLC35F3_-_234040720.23-P2",0.247400034060354,6.02742739355506,1.22961260288412,0.267482390811276,0.618268299928741
"AK1","AK1","AK1_-_130639906.23-P1P2|AK1_+_130639940.23-P1P2",-0.247246443888982,6.86468919392629,1.22906198441223,0.267589537343332,0.618327657613304
"FOXD3.1","FOXD3","FOXD3_+_63788295.23-P1|FOXD3_-_63788488.23-P1",-0.294538837737426,5.81063002497165,1.22887255664432,0.267626411041624,0.618327657613304
"VASH1","VASH1","VASH1_-_77227834.23-P1P2|VASH1_-_77227837.23-P1P2",0.21617661083982,6.13296195774201,1.22707001290252,0.267977608418961,0.618955913971019
"GRIA3","GRIA3","GRIA3_-_122318250.23-P1P2|GRIA3_-_122318116.23-P1P2",-0.603099775437704,5.79938523130752,1.22686906642553,0.268016795284102,0.618955913971019
"DUSP22","DUSP22","DUSP22_+_292534.23-P1P2|DUSP22_+_292372.23-P1P2",-0.344996489522447,5.61411425671823,1.22617270094656,0.26815264984094,0.619132830498856
"ZNF546","ZNF546","ZNF546_-_40502987.23-P1P2|ZNF546_+_40503026.23-P1P2",-0.398010891241408,5.38460658185023,1.22482484282762,0.268415848798936,0.619603627114841
"CACNA2D4","CACNA2D4","CACNA2D4_-_2027822.23-ENST00000382722.5|CACNA2D4_-_2027814.23-ENST00000382722.5",-0.218633678207134,6.20129173773699,1.22384348548998,0.26860768319985,0.619909516218734
"TARP","TARP","TARP_+_38313220.23-P1P2|TARP_+_38312999.23-P1P2",0.315891399070692,5.58701552977521,1.22343501800947,0.268687580291097,0.619956991398092
"KLC4","KLC4","KLC4_-_43027412.23-P1P2|KLC4_-_43027400.23-P1P2",-0.242927418526774,6.07193389794659,1.22309850059031,0.268753426083548,0.619972031473086
"BEGAIN","BEGAIN","BEGAIN_+_101053679.23-P1|BEGAIN_+_101053561.23-P1",0.236181399797162,6.53827043332235,1.22178706482022,0.26901022475889,0.62015765650451
"PLAGL1","PLAGL1","PLAGL1_+_144385655.23-P2|PLAGL1_-_144385721.23-P2",-0.263158222461948,5.89918768505653,1.22176441426464,0.269014662765505,0.62015765650451
"COMT","COMT","COMT_-_19929344.23-P1P2|COMT_+_19929358.23-P1P2",-0.328768642886799,5.67944206573502,1.2214690949811,0.269072534123799,0.62015765650451
"TSPAN3","TSPAN3","TSPAN3_+_77363440.23-P1P2|TSPAN3_+_77363415.23-P1P2",0.309540210201645,5.90992254338777,1.22131022329188,0.269103673367877,0.62015765650451
"C22orf42","C22orf42","C22orf42_+_32555267.23-P1P2|C22orf42_-_32555256.23-P1P2",-0.297776171365585,5.6013408100077,1.22117276402914,0.269130619353871,0.62015765650451
"LRRN1","LRRN1","LRRN1_-_3841156.23-P1P2|LRRN1_-_3841165.23-P1P2",0.267614268582959,6.5141396706434,1.220387805857,0.269284558392438,0.620163885177622
"PROC","PROC","PROC_+_128176063.23-P1|PROC_-_128176438.23-P1",0.225331880303937,6.02963974879985,1.22028253913275,0.269305210729026,0.620163885177622
"HOXA7","HOXA7","HOXA7_+_27196242.23-P1P2|HOXA7_+_27196262.23-P1P2",0.278402380647507,5.68236185407261,1.21976017251581,0.269407723387997,0.620163885177622
"DBX2","DBX2","DBX2_-_45444866.23-P1P2|DBX2_+_45444851.23-P1P2",0.238788735491881,6.46987204046013,1.21971807385907,0.2694159872269,0.620163885177622
"SLC25A39","SLC25A39","SLC25A39_-_42402136.23-P1|SLC25A39_+_42402139.23-P1",0.243817388816123,6.9674359808702,1.21964642937111,0.269430051550852,0.620163885177622
"TIRAP","TIRAP","TIRAP_+_126153020.23-P1P2|TIRAP_+_126153171.23-P1P2",0.217574707517683,6.08562805467841,1.21815901474019,0.269722248902274,0.62037108938911
"FCAMR","FCAMR","FCAMR_+_207143794.23-P1P2|FCAMR_+_207143808.23-P1P2",0.360757011039295,5.59510416100346,1.21809143646084,0.269735533814685,0.62037108938911
"CXCL2","CXCL2","CXCL2_+_74965031.23-P1P2|CXCL2_-_74964874.23-P1P2",-0.253355235553738,5.97182459510336,1.21803864085171,0.269745913236677,0.62037108938911
"PHKA1","PHKA1","PHKA1_+_71934119.23-P1P2|PHKA1_+_71933897.23-P1P2",-0.295447292427786,5.73961596813386,1.21797953414627,0.26975753398891,0.62037108938911
"UBE2O","UBE2O","UBE2O_+_74449219.23-P1P2|UBE2O_+_74449216.23-P1P2",0.292634350115879,5.72940176146614,1.21686479304284,0.269976816320924,0.620738774599264
"FDX1","FDX1","FDX1_+_110300809.23-P1P2|FDX1_+_110300796.23-P1P2",0.249129795597194,5.87929375661748,1.21635462454665,0.27007724659027,0.620832587880937
"PSAPL1","PSAPL1","PSAPL1_-_7436646.23-P1P2|PSAPL1_-_7436581.23-P1P2",-0.33517816491465,5.79369196629042,1.21605405338983,0.270136437999485,0.620832587880937
"SERF2","SERF2","SERF2_-_44069614.23-P2|SERF2_-_44069628.23-P2",0.255954031817857,6.69395933711813,1.21522524713691,0.270299738634963,0.621039486658281
"PATL2","PATL2","PATL2_+_44968923.23-ENST00000434130.1|PATL2_+_44969062.23-ENST00000434130.1",-0.256013732755797,6.29424176779558,1.21499400297236,0.270345322948184,0.621039486658281
"FEV","FEV","FEV_+_219849581.23-P1P2|FEV_-_219849906.23-P1P2",0.332554605845822,5.63133751813912,1.21436933109231,0.270468510271697,0.621185919195436
"C15orf38-AP3S2","C15orf38-AP3S2","C15orf38-AP3S2_-_90456102.23-P2|C15orf38-AP3S2_-_90456061.23-P2",0.33401086927209,5.60297518165215,1.21392427554478,0.270556319479689,0.621251052200122
"negative_control.320","negative_control","non-targeting_00670|non-targeting_02805",0.257543830035072,5.99894145039358,1.21323579724145,0.270692226085376,0.621306760822341
"ANGPT2","ANGPT2","ANGPT2_+_6420744.23-P1P2|ANGPT2_+_6420752.23-P1P2",0.315859067218903,5.62045355822438,1.21319900614589,0.270699491102787,0.621306760822341
"ANKRD7","ANKRD7","ANKRD7_+_117864793.23-P1|ANKRD7_-_117864809.23-P1",0.254786747065395,6.72626529311205,1.21179400440686,0.270977114747176,0.621698187326437
"PPARD","PPARD","PPARD_-_35310380.23-P1P2|PPARD_-_35310354.23-P1P2",0.432544139865656,5.3268370992556,1.21173380200157,0.270989018494921,0.621698187326437
"SSTR2","SSTR2","SSTR2_-_71161158.23-P1P2|SSTR2_+_71161207.23-P1P2",-0.293707723881837,5.85136246498934,1.21135543096781,0.271063848310272,0.621733365856527
"ZNF251","ZNF251","ZNF251_-_145980819.23-P1P2|ZNF251_-_145980860.23-P1P2",0.339818560288054,5.70416333672737,1.21069938826069,0.271193654062983,0.621894598410834
"HOXD13","HOXD13","HOXD13_-_176957650.23-P1P2|HOXD13_-_176957538.23-P1P2",0.28574508210427,5.63071324473618,1.2100357111716,0.2713250495022,0.622059404848178
"OR2W3","OR2W3","OR2W3_-_248058904.23-ENST00000360358.3|OR2W3_+_248058926.23-ENST00000360358.3",-0.256445712150674,5.98924581913485,1.2092235726262,0.271485945874967,0.622260160070356
"SERPINB5","SERPINB5","SERPINB5_+_61144187.23-P1P2|SERPINB5_+_61144204.23-P1P2",0.251151045545692,5.87904207213579,1.20886362900512,0.27155729408572,0.622260160070356
"STAM2","STAM2","STAM2_+_153032246.23-P1P2|STAM2_+_153032213.23-P1P2",0.217915127537329,7.80858555375109,1.20869235352433,0.27159125263932,0.622260160070356
