sgRNA	Gene	Low_1	Low_2	Low_3	High_1	High_2	High_3
SNAP29_+_21213372.23-P1P2|SNAP29_-_21213356.23-P1P2	SNAP29	14280	6014	20117	5814	12312	9595
TMEM184B_+_38669005.23-P1P2|TMEM184B_+_38668990.23-P1P2	TMEM184B	15506	11047	18580	9441	11834	1777
ARL13A_+_100224727.23-P1P2|ARL13A_-_100224705.23-P1P2	ARL13A	1691	972	1206	480	1024	1790
FBXW7_+_153457205.23-ENST00000281708.4|FBXW7_-_153457248.23-ENST00000281708.4	FBXW7	8969	5327	9935	6130	8956	5208
NBEAL2_-_47021368.23-P1|NBEAL2_+_47021358.23-P1	NBEAL2	3476	2824	5070	3361	3110	4248
NWD1_-_16830833.23-P1P2|NWD1_-_16830822.23-P1P2	NWD1	5060	4033	4612	5003	4157	4843
ADAM12_-_128077031.23-P1P2|ADAM12_-_128077010.23-P1P2	ADAM12	6246	5835	5351	5716	5296	5244
NTHL1_+_2097718.23-P1P2|NTHL1_-_2097763.23-P1P2	NTHL1	3642	7463	3432	7249	3221	7991
CKM_+_45826065.23-P1|CKM_-_45826081.23-P1	CKM	7157	7717	9441	6761	5727	7460
CDC14A_+_100818104.23-P1P2|CDC14A_+_100818093.23-P1P2	CDC14A	7667	7280	6917	9346	8681	10045
"NAV1_+_201617284.23-ENST00000295624.6,ENST00000367296.4|NAV1_+_201617314.23-ENST00000295624.6,ENST00000367296.4"	NAV1	8558	4537	9988	5167	7997	5112
SCGB3A1_+_180018438.23-P1P2|SCGB3A1_-_180018427.23-P1P2	SCGB3A1	6369	4450	8319	6048	5450	7381
NKAPL_+_28227152.23-P1P2|NKAPL_+_28227107.23-P1P2	NKAPL	5409	5013	5248	4508	4341	4644
PDXK_-_45139394.23-P1P2|PDXK_+_45139466.23-P1P2	PDXK	3438	6135	2335	5276	3775	7529
SCGN_-_25652693.23-P1P2|SCGN_-_25652658.23-P1P2	SCGN	4276	4698	4626	1814	5145	3878
RAVER1_+_10444112.23-P1|RAVER1_+_10444153.23-P1	RAVER1	1850	1298	1635	2439	2873	1298
WBP4_-_41635716.23-P1P2|WBP4_-_41635687.23-P1P2	WBP4	6079	9368	7415	8318	5602	8992
PLXDC1_-_37307872.23-P1|PLXDC1_+_37307604.23-P1	PLXDC1	7059	1176	8288	701	5268	1475
ZMIZ2_-_44788466.23-P1P2|ZMIZ2_-_44788204.23-P1P2	ZMIZ2	4674	6025	6833	3490	4650	6379
RAG2_-_36619757.23-P1P2|RAG2_+_36619743.23-P1P2	RAG2	2187	2900	3589	2598	1280	4738
STAP2_+_4338780.23-P1P2|STAP2_+_4338746.23-P1P2	STAP2	3942	3928	7707	4088	3931	4744
KHSRP_-_6424852.23-P1P2|KHSRP_-_6424785.23-P1P2	KHSRP	9719	13261	11183	13046	7718	13235
PDE4C_+_18366113.23-P1|PDE4C_-_18366154.23-P1	PDE4C	5047	4465	3784	2540	3944	4152
THBD_+_23029175.23-P2|THBD_-_23029227.23-P2	THBD	5653	4867	7794	4340	5440	5175
ATP6V1C2_+_10861821.23-P1P2|ATP6V1C2_-_10862143.23-P1P2	ATP6V1C2	17419	9983	23749	9113	15717	12880
C7orf26_+_6629657.23-P1P2|C7orf26_+_6629704.23-P1P2	C7orf26	3834	2462	3994	2396	3575	3149
non-targeting_02820|non-targeting_03728	negative_control	4094	3190	5325	3436	3756	4323
FBN1_+_48937895.23-P1P2|FBN1_+_48937882.23-P1P2	FBN1	7089	7454	9388	4750	5723	7653
LYPD5_+_44306563.23-P2|LYPD5_+_44306579.23-P2	LYPD5	6286	3601	5927	4498	4576	5687
non-targeting_00318|non-targeting_00877	negative_control	6449	5322	8814	4078	5354	4972
