sgRNA	Gene	Low_1	Low_2	Low_3	High_1	High_2	High_3
TMEM66_-_29940566.23-P1P2|TMEM66_-_29940518.23-P1P2	TMEM66	5483.270181252456	6709.372499865207	6820.918627190981	7037.416634900869	5538.981758346147	6607.995035704923
ASPA_+_3379320.23-P1P2|ASPA_+_3379511.23-P1P2	ASPA	2291.9193227434625	2600.8300088528126	2586.9426069699316	3275.4424409818757	1386.6265220777277	1479.7604122416142
OR6Q1_-_57798454.23-ENST00000302622.3|OR6Q1_+_57798418.23-ENST00000302622.3	OR6Q1	3487.7438412793967	1968.027182088385	1541.0046407620578	2142.123215538305	1344.7052551311917	1902.5491014535041
FAM122C_-_133941301.23-P1P2|FAM122C_+_133941286.23-P1P2	FAM122C	5192.469518911683	4872.270040555669	7751.261315121308	7014.358257984418	5980.767417705796	5441.482606833936
MMP3_+_102714331.23-P1P2|MMP3_+_102714334.23-P1P2	MMP3	3008.6683911410723	1893.2130547861866	2818.930372340733	2167.4874301464015	2172.3815512551064	3961.722194592322
RANGAP1_-_41682205.23-P1P2|RANGAP1_+_41682168.23-P1P2	RANGAP1	1822.1644066545218	3890.334619714315	1262.7787640802378	5943.296650215265	1943.4269394701794	3953.0742441311695
KL_+_33590620.23-P1P2|KL_+_33590760.23-P1P2	KL	6371.517076158727	7254.892178110403	5582.05612758196	6315.68943741595	6336.560734611011	5403.047271451037
ITPRIPL1_-_96991116.23-P1P2|ITPRIPL1_+_96991085.23-P1P2	ITPRIPL1	3880.138324758452	4820.315785484698	5339.7046476069645	4563.252791765668	3585.8806803498446	3514.91142076612
GLRA1_+_151304321.23-P1P2|GLRA1_-_151304326.23-P1P2	GLRA1	4167.210773479472	4874.348210758508	4684.3990010956295	2855.779981102466	3578.3563503850814	3630.217426914817
TMEM200B_+_29450233.23-P1|TMEM200B_+_29450397.23-P1	TMEM200B	5686.457823529022	6218.924331995239	8329.237706509042	5071.690002773415	3680.4722570497206	6006.482036962552
CCR7_+_38717072.23-P2|CCR7_+_38716933.23-P2	CCR7	5518.688210640114	4103.347065505297	6722.064734043286	4723.508511335003	5245.532889720396	4541.134875489525
SNX13_+_17979892.23-P1P2|SNX13_+_17980000.23-P1P2	SNX13	5296.859500264781	3459.1143026252553	4164.618853254521	3506.0262101463863	5621.749387958539	3593.703858301063
MNS1_+_56757244.23-P1P2|MNS1_-_56757302.23-P1P2	MNS1	6202.815409864881	5512.346463030032	3873.637635521386	4670.474244427166	5791.584264306043	5309.841583147507
C1orf194_+_109656447.23-P2|C1orf194_-_109656442.23-P2	C1orf194	3733.8059401831274	3496.5213662763545	3852.910206312998	4109.002766511582	2752.8298628225275	5132.078157001599
PLA2G12B_+_74714515.23-P1P2|PLA2G12B_-_74714531.23-P1P2	PLA2G12B	3211.8560334176377	3278.3134949782757	2813.3499106307822	3833.455162359992	2465.8304198808582	3814.707036752733
DUSP9_+_152912690.23-P1|DUSP9_+_152912679.23-P1	DUSP9	19311.214496918175	19326.982886401245	20676.40784418248	22825.487309594922	21376.621429891293	21133.669160287056
CD163_+_7656130.23-P1P2|CD163_+_7656287.23-P1P2	CD163	4031.1309763584686	5041.640912087035	3370.5988728101297	3150.9272056330396	2866.769716574651	4980.2585822391475
ATP6V0A2_-_124196959.23-P1P2|ATP6V0A2_-_124196923.23-P1P2	ATP6V0A2	3298.5370000769067	2891.773837250251	3257.3952209797044	3931.453264254909	3077.450955588011	3069.061530324491
ZNF800_-_127032750.23-P1P2|ZNF800_-_127032721.23-P1P2	ZNF800	4807.531462672135	10675.560331983139	5214.542863540932	7086.992145271239	6238.744445069094	7509.303650433906
SATB1_-_18486329.23-P2|SATB1_-_18486324.23-P2	SATB1	3126.107120163307	1895.2912249890253	3538.0127241086457	3521.0141551420797	4085.7111708662346	3942.5045269008724
MRP63_+_21750803.23-P1P2|MRP63_-_21750808.23-P1P2	MRP63	250.72236592842268	350.17167917834513	2.3916264471216624	548.7893706115357	236.47894174968997	95.1274550726752
CYS1_+_10220308.23-P1P2|CYS1_-_10220299.23-P1P2	CYS1	5735.856653990755	6479.734692451514	4169.402106148765	8367.884982980097	4954.233829656005	7837.925767957693
SLC22A15_+_116519169.23-P1P2|SLC22A15_-_116519220.23-P1P2	SLC22A15	5011.6511583536385	4236.349958486982	5012.849033167005	6127.763665546874	5836.7302440946205	5766.261190819433
LAMA1_+_7117729.23-P1P2|LAMA1_-_7117743.23-P1P2	LAMA1	4176.531307528855	3398.8473667429284	3188.835262828883	2356.5661208613	2938.788303380238	3970.370145053474
DLX3_+_48072554.23-P1P2|DLX3_+_48072354.23-P1P2	DLX3	2683.3817528175796	4743.42348797966	1728.3487124532546	3006.8123499052203	1644.6035494410257	4239.417492733767
SCMH1_+_41626545.23-ENST00000326197.7|SCMH1_+_41626493.23-ENST00000326197.7	SCMH1	2094.324000896527	2638.237072503912	1475.6335178740658	1475.736122652869	3276.3082475138867	2542.4974355787735
